time,car_ID_TX,car_ID_RX,snr_values,distance_values,rel_speed_values,snr_values_norm,distance_values_norm,rel_speed_values_norm,composite_snr_db,use_nn,testing_case,psnr,accuracy
10,v1,v2,40.0,20.22,20.0,1.0,0.1011,0.2,9.1116,False,fuzzy_logic_fixed_snr,9.0869,0.9932
10,v1,v5,40.0,110.0,20.0,1.0,0.55,0.2,-5.5991,False,fuzzy_logic_fixed_snr,-5.631,0.8461
10,v1,v6,40.0,190.02,10.0,1.0,0.9501,0.1,-8.5865,True,fuzzy_logic_fixed_snr,0.9848,0.2469
10,v2,v1,20.0,20.22,20.0,0.6,0.1011,0.2,-10.8884,False,fuzzy_logic_fixed_snr,-10.923,0.5525
10,v2,v5,20.0,130.03,40.0,0.6,0.6502,0.4,-29.2709,True,fuzzy_logic_fixed_snr,0.35,0.0885
10,v3,v4,20.0,50.09,30.0,0.6,0.2504,0.3,-20.0156,True,fuzzy_logic_fixed_snr,0.4656,0.1197
10,v3,v7,20.0,100.0,30.0,0.6,0.5,0.3,-26.0206,True,fuzzy_logic_fixed_snr,0.3932,0.1174
10,v3,v8,20.0,130.03,10.0,0.6,0.6502,0.1,-25.2915,True,fuzzy_logic_fixed_snr,0.4108,0.1209
10,v4,v3,40.0,50.09,30.0,1.0,0.2504,0.3,-0.0156,False,fuzzy_logic_fixed_snr,-0.0523,0.9695
10,v4,v7,40.0,50.09,0.0,1.0,0.2504,0.0,6.005,False,fuzzy_logic_fixed_snr,5.9682,0.9867
10,v4,v8,40.0,80.0,20.0,1.0,0.4,0.2,-2.833,False,fuzzy_logic_fixed_snr,-2.8617,0.9293
10,v4,v12,40.0,170.0,20.0,1.0,0.85,0.2,-9.3802,True,fuzzy_logic_fixed_snr,0.9521,0.2629
10,v4,v16,40.0,170.0,20.0,1.0,0.85,0.2,-9.3802,True,fuzzy_logic_fixed_snr,0.9047,0.2172
11,v1,v2,40.0,3.0,10.0,1.0,0.015,0.1,27.4473,False,fuzzy_logic_fixed_snr,27.4359,0.998
11,v1,v5,40.0,90.0,10.0,1.0,0.45,0.1,-2.0952,False,fuzzy_logic_fixed_snr,-2.1194,0.9354
11,v2,v1,20.0,3.0,10.0,0.6,0.015,0.1,7.4473,False,fuzzy_logic_fixed_snr,7.4122,0.9912
11,v2,v5,20.0,90.05,20.0,0.6,0.4502,0.2,-23.8609,True,fuzzy_logic_fixed_snr,0.4016,0.1295
11,v2,v6,20.0,200.0,0.0,0.6,1.0,0.0,-26.0206,True,fuzzy_logic_fixed_snr,0.395,0.1242
11,v3,v4,20.0,80.06,10.0,0.6,0.4003,0.1,-21.0782,True,fuzzy_logic_fixed_snr,0.446,0.1355
11,v3,v7,20.0,130.0,30.0,0.6,0.65,0.3,-28.2995,True,fuzzy_logic_fixed_snr,0.38,0.1072
11,v3,v8,20.0,140.03,20.0,0.6,0.7002,0.2,-27.6958,True,fuzzy_logic_fixed_snr,0.3838,0.1021
11,v4,v7,40.0,50.09,20.0,1.0,0.2504,0.2,1.2338,False,fuzzy_logic_fixed_snr,1.2044,0.973
11,v4,v8,40.0,60.0,10.0,1.0,0.3,0.1,1.4267,False,fuzzy_logic_fixed_snr,1.3991,0.9773
11,v4,v3,40.0,80.06,10.0,1.0,0.4003,0.1,-1.0782,False,fuzzy_logic_fixed_snr,-1.1133,0.9559
11,v4,v11,40.0,140.03,30.0,1.0,0.7002,0.3,-8.9452,False,fuzzy_logic_fixed_snr,-8.9762,0.6539
11,v4,v12,40.0,190.0,10.0,1.0,0.95,0.1,-8.5854,True,fuzzy_logic_fixed_snr,0.9833,0.2568
12,v1,v2,40.0,10.44,20.0,1.0,0.0522,0.2,14.8545,False,fuzzy_logic_fixed_snr,14.8306,0.9951
12,v1,v5,40.0,100.0,0.0,1.0,0.5,0.0,0.0,False,fuzzy_logic_fixed_snr,-0.0225,0.9604
12,v1,v6,40.0,190.02,10.0,1.0,0.9501,0.1,-8.5865,True,fuzzy_logic_fixed_snr,1.0066,0.2584
12,v2,v1,20.0,10.44,20.0,0.6,0.0522,0.2,-5.1455,False,fuzzy_logic_fixed_snr,-5.1693,0.8316
12,v2,v5,20.0,110.04,20.0,0.6,0.5502,0.2,-25.6023,True,fuzzy_logic_fixed_snr,0.3777,0.1066
12,v2,v6,20.0,200.0,10.0,0.6,1.0,0.1,-29.0309,True,fuzzy_logic_fixed_snr,0.3673,0.1045
12,v3,v4,20.0,70.06,0.0,0.6,0.3503,0.0,-16.9099,True,fuzzy_logic_fixed_snr,0.5523,0.1393
12,v3,v7,20.0,100.0,20.0,0.6,0.5,0.2,-24.7712,True,fuzzy_logic_fixed_snr,0.4124,0.1207
12,v3,v8,20.0,120.04,20.0,0.6,0.6002,0.2,-26.3576,True,fuzzy_logic_fixed_snr,0.3715,0.1168
12,v3,v11,20.0,180.0,10.0,0.6,0.9,0.1,-28.1158,True,fuzzy_logic_fixed_snr,0.3681,0.1025
12,v4,v7,40.0,30.15,20.0,1.0,0.1507,0.2,5.6431,False,fuzzy_logic_fixed_snr,5.6176,0.9814
12,v4,v8,40.0,50.0,20.0,1.0,0.25,0.2,1.2494,False,fuzzy_logic_fixed_snr,1.2153,0.9689
12,v4,v3,40.0,70.06,0.0,1.0,0.3503,0.0,3.0901,False,fuzzy_logic_fixed_snr,3.0548,0.9793
12,v4,v11,40.0,110.04,10.0,1.0,0.5502,0.1,-3.8414,False,fuzzy_logic_fixed_snr,-3.8658,0.8986
12,v4,v12,40.0,180.0,10.0,1.0,0.9,0.1,-8.1158,True,fuzzy_logic_fixed_snr,1.0437,0.2723
13,v1,v2,40.0,30.15,10.0,1.0,0.1507,0.1,7.4041,False,fuzzy_logic_fixed_snr,7.3789,0.9922
13,v1,v5,40.0,100.0,30.0,1.0,0.5,0.3,-6.0206,False,fuzzy_logic_fixed_snr,-6.0456,0.8242
13,v1,v6,40.0,180.02,0.0,1.0,0.9001,0.0,-5.1067,True,fuzzy_logic_fixed_snr,1.385,0.3684
13,v2,v1,20.0,30.15,10.0,0.6,0.1507,0.1,-12.5959,False,fuzzy_logic_fixed_snr,-12.6322,0.4871
13,v2,v5,20.0,130.03,20.0,0.6,0.6502,0.2,-27.0524,True,fuzzy_logic_fixed_snr,0.3965,0.1287
13,v3,v4,20.0,70.06,10.0,0.6,0.3503,0.1,-19.9202,True,fuzzy_logic_fixed_snr,0.4796,0.1307
13,v3,v7,20.0,120.0,10.0,0.6,0.6,0.1,-24.5939,True,fuzzy_logic_fixed_snr,0.4042,0.1125
13,v3,v8,20.0,140.03,20.0,0.6,0.7002,0.2,-27.6958,True,fuzzy_logic_fixed_snr,0.3804,0.118
13,v3,v11,20.0,190.0,10.0,0.6,0.95,0.1,-28.5854,True,fuzzy_logic_fixed_snr,0.3667,0.1086
13,v4,v7,40.0,50.09,20.0,1.0,0.2504,0.2,1.2338,False,fuzzy_logic_fixed_snr,1.2166,0.9676
13,v4,v8,40.0,70.0,10.0,1.0,0.35,0.1,0.0877,False,fuzzy_logic_fixed_snr,0.0584,0.9592
13,v4,v3,40.0,70.06,10.0,1.0,0.3503,0.1,0.0798,False,fuzzy_logic_fixed_snr,0.0535,0.9652
13,v4,v11,40.0,120.04,0.0,1.0,0.6002,0.0,-1.5863,False,fuzzy_logic_fixed_snr,-1.6068,0.9496
13,v4,v12,40.0,170.0,0.0,1.0,0.85,0.0,-4.609,True,fuzzy_logic_fixed_snr,1.4459,0.4467
14,v1,v2,40.0,20.22,30.0,1.0,0.1011,0.3,7.8622,False,fuzzy_logic_fixed_snr,7.8305,0.9932
