time,car_ID_TX,car_ID_RX,snr_values,distance_values,rel_speed_values,snr_values_norm,distance_values_norm,rel_speed_values_norm,composite_snr_db,use_nn,testing_case,psnr,accuracy
10,v1,v2,40.0,20.22,20.0,1.0,0.1011,0.4,21.4669,False,fuzzy_logic_fixed_snr,21.4387,0.9961
10,v1,v5,40.0,110.0,20.0,1.0,0.55,0.4,12.6406,False,fuzzy_logic_fixed_snr,12.6128,0.9932
10,v1,v6,40.0,190.02,10.0,1.0,0.9501,0.2,10.8481,True,fuzzy_logic_fixed_snr,2.8811,0.9484
10,v2,v1,20.0,20.22,20.0,0.6,0.1011,0.4,1.4669,True,fuzzy_logic_fixed_snr,2.2769,0.7881
10,v2,v5,20.0,130.03,40.0,0.6,0.6502,0.8,-9.5625,True,fuzzy_logic_fixed_snr,0.9348,0.2484
10,v3,v4,20.0,50.09,30.0,0.6,0.2504,0.6,-4.0094,True,fuzzy_logic_fixed_snr,1.4774,0.4543
10,v3,v7,20.0,100.0,30.0,0.6,0.5,0.6,-7.6124,True,fuzzy_logic_fixed_snr,1.094,0.2953
10,v3,v8,20.0,130.03,10.0,0.6,0.6502,0.2,-7.1749,True,fuzzy_logic_fixed_snr,1.1344,0.285
10,v4,v3,40.0,50.09,30.0,1.0,0.2504,0.6,15.9906,False,fuzzy_logic_fixed_snr,15.972,0.9961
10,v4,v7,40.0,50.09,0.0,1.0,0.2504,0.0,19.603,False,fuzzy_logic_fixed_snr,19.5773,0.998
10,v4,v8,40.0,80.0,20.0,1.0,0.4,0.4,14.3002,False,fuzzy_logic_fixed_snr,14.282,0.9971
10,v4,v12,40.0,170.0,20.0,1.0,0.85,0.4,10.3719,True,fuzzy_logic_fixed_snr,2.8682,0.948
10,v4,v16,40.0,170.0,20.0,1.0,0.85,0.4,10.3719,True,fuzzy_logic_fixed_snr,2.8673,0.9416
11,v1,v2,40.0,3.0,10.0,1.0,0.015,0.2,32.4684,False,fuzzy_logic_fixed_snr,32.4545,0.999
11,v1,v5,40.0,90.0,10.0,1.0,0.45,0.2,14.7429,False,fuzzy_logic_fixed_snr,14.7066,0.9936
11,v2,v1,20.0,3.0,10.0,0.6,0.015,0.2,12.4684,False,fuzzy_logic_fixed_snr,12.4432,0.9941
11,v2,v5,20.0,90.05,20.0,0.6,0.4502,0.4,-6.3165,True,fuzzy_logic_fixed_snr,1.2284,0.3447
11,v2,v6,20.0,200.0,0.0,0.6,1.0,0.0,-7.6124,True,fuzzy_logic_fixed_snr,1.1026,0.2791
11,v3,v4,20.0,80.06,10.0,0.6,0.4003,0.2,-4.6469,True,fuzzy_logic_fixed_snr,1.4239,0.3922
11,v3,v7,20.0,130.0,30.0,0.6,0.65,0.6,-8.9797,True,fuzzy_logic_fixed_snr,0.9762,0.2551
11,v3,v8,20.0,140.03,20.0,0.6,0.7002,0.4,-8.6175,True,fuzzy_logic_fixed_snr,0.9938,0.2418
11,v4,v7,40.0,50.09,20.0,1.0,0.2504,0.4,16.7403,False,fuzzy_logic_fixed_snr,16.7066,0.998
11,v4,v8,40.0,60.0,10.0,1.0,0.3,0.2,16.856,False,fuzzy_logic_fixed_snr,16.8117,0.9971
11,v4,v3,40.0,80.06,10.0,1.0,0.4003,0.2,15.3531,False,fuzzy_logic_fixed_snr,15.3208,0.9971
11,v4,v11,40.0,140.03,30.0,1.0,0.7002,0.6,10.6329,True,fuzzy_logic_fixed_snr,2.8757,0.9441
11,v4,v12,40.0,190.0,10.0,1.0,0.95,0.2,10.8488,True,fuzzy_logic_fixed_snr,2.8762,0.948
12,v1,v2,40.0,10.44,20.0,1.0,0.0522,0.4,24.9127,False,fuzzy_logic_fixed_snr,24.8741,0.999
12,v1,v5,40.0,100.0,0.0,1.0,0.5,0.0,16.0,False,fuzzy_logic_fixed_snr,15.9754,0.9932
12,v1,v6,40.0,190.02,10.0,1.0,0.9501,0.2,10.8481,True,fuzzy_logic_fixed_snr,2.8755,0.9471
12,v2,v1,20.0,10.44,20.0,0.6,0.0522,0.4,4.9127,True,fuzzy_logic_fixed_snr,2.6302,0.8859
