time,car_ID_TX,car_ID_RX,snr_values,distance_values,rel_speed_values,snr_values_norm,distance_values_norm,rel_speed_values_norm,composite_snr_db,use_nn,testing_case,psnr,accuracy
10,v1,v2,40.0,20.22,20.0,1.0,0.1011,0.4,15.2892,False,fuzzy_logic_fixed_snr,15.265,0.998
10,v1,v5,40.0,110.0,20.0,1.0,0.55,0.4,3.5207,False,fuzzy_logic_fixed_snr,3.499,0.9828
10,v1,v6,40.0,190.02,10.0,1.0,0.9501,0.2,1.1308,True,fuzzy_logic_fixed_snr,2.2355,0.767
10,v2,v1,20.0,20.22,20.0,0.6,0.1011,0.4,-4.7108,True,fuzzy_logic_fixed_snr,1.4106,0.4037
10,v2,v5,20.0,130.03,40.0,0.6,0.6502,0.8,-19.4167,True,fuzzy_logic_fixed_snr,0.5014,0.1305
10,v3,v4,20.0,50.09,30.0,0.6,0.2504,0.6,-12.0125,True,fuzzy_logic_fixed_snr,0.7602,0.2072
10,v3,v7,20.0,100.0,30.0,0.6,0.5,0.6,-16.8165,True,fuzzy_logic_fixed_snr,0.5733,0.1396
10,v3,v8,20.0,130.03,10.0,0.6,0.6502,0.2,-16.2332,True,fuzzy_logic_fixed_snr,0.5682,0.1385
10,v4,v3,40.0,50.09,30.0,1.0,0.2504,0.6,7.9875,False,fuzzy_logic_fixed_snr,7.9398,0.9961
10,v4,v7,40.0,50.09,0.0,1.0,0.2504,0.0,12.804,False,fuzzy_logic_fixed_snr,12.779,0.9961
10,v4,v8,40.0,80.0,20.0,1.0,0.4,0.4,5.7336,False,fuzzy_logic_fixed_snr,5.7139,0.9902
10,v4,v12,40.0,170.0,20.0,1.0,0.85,0.4,0.4958,True,fuzzy_logic_fixed_snr,2.1485,0.7508
10,v4,v16,40.0,170.0,20.0,1.0,0.85,0.4,0.4958,True,fuzzy_logic_fixed_snr,2.1311,0.7311
11,v1,v2,40.0,3.0,10.0,1.0,0.015,0.2,29.9578,False,fuzzy_logic_fixed_snr,29.9168,0.999
11,v1,v5,40.0,90.0,10.0,1.0,0.45,0.2,6.3239,False,fuzzy_logic_fixed_snr,6.2977,0.9922
11,v2,v1,20.0,3.0,10.0,0.6,0.015,0.2,9.9578,False,fuzzy_logic_fixed_snr,9.9307,0.9887
11,v2,v5,20.0,90.05,20.0,0.6,0.4502,0.4,-15.0887,True,fuzzy_logic_fixed_snr,0.6333,0.1521
11,v2,v6,20.0,200.0,0.0,0.6,1.0,0.0,-16.8165,True,fuzzy_logic_fixed_snr,0.5744,0.1559
11,v3,v4,20.0,80.06,10.0,0.6,0.4003,0.2,-12.8626,True,fuzzy_logic_fixed_snr,0.7009,0.1631
