time,car_ID_TX,car_ID_RX,snr_values,distance_values,rel_speed_values,snr_values_norm,distance_values_norm,rel_speed_values_norm,composite_snr_db,use_nn,testing_case,psnr,accuracy
10,v1,v2,40.0,20.22,20.0,1.0,0.1011,0.4,21.4669,False,fuzzy_logic_fixed_snr,27.6051,0.9818
10,v1,v5,40.0,110.0,20.0,1.0,0.55,0.4,12.6406,False,fuzzy_logic_fixed_snr,18.7775,0.9088
10,v1,v6,40.0,190.02,10.0,1.0,0.9501,0.2,10.8481,True,fuzzy_logic_fixed_snr,23.9315,0.8941
10,v2,v1,20.0,20.22,20.0,0.6,0.1011,0.4,1.4669,True,fuzzy_logic_fixed_snr,20.7015,0.8285
10,v2,v5,20.0,130.03,40.0,0.6,0.6502,0.8,-9.5625,True,fuzzy_logic_fixed_snr,10.6925,0.2336
10,v3,v4,20.0,50.09,30.0,0.6,0.2504,0.6,-4.0094,True,fuzzy_logic_fixed_snr,16.401,0.5844
10,v3,v7,20.0,100.0,30.0,0.6,0.5,0.6,-7.6124,True,fuzzy_logic_fixed_snr,12.8589,0.35
10,v3,v8,20.0,130.03,10.0,0.6,0.6502,0.2,-7.1749,True,fuzzy_logic_fixed_snr,13.3184,0.3537
10,v4,v3,40.0,50.09,30.0,1.0,0.2504,0.6,15.9906,False,fuzzy_logic_fixed_snr,22.1267,0.951
10,v4,v7,40.0,50.09,0.0,1.0,0.2504,0.0,19.603,False,fuzzy_logic_fixed_snr,25.7403,0.9756
10,v4,v8,40.0,80.0,20.0,1.0,0.4,0.4,14.3002,False,fuzzy_logic_fixed_snr,20.4403,0.9357
10,v4,v12,40.0,170.0,20.0,1.0,0.85,0.4,10.3719,True,fuzzy_logic_fixed_snr,23.8771,0.8932
10,v4,v16,40.0,170.0,20.0,1.0,0.85,0.4,10.3719,True,fuzzy_logic_fixed_snr,23.8716,0.9064
11,v1,v2,40.0,3.0,10.0,1.0,0.015,0.2,32.4684,False,fuzzy_logic_fixed_snr,38.6047,0.9941
11,v1,v5,40.0,90.0,10.0,1.0,0.45,0.2,14.7429,False,fuzzy_logic_fixed_snr,20.8798,0.9289
11,v2,v1,20.0,3.0,10.0,0.6,0.015,0.2,12.4684,False,fuzzy_logic_fixed_snr,18.6078,0.8994
11,v2,v5,20.0,90.05,20.0,0.6,0.4502,0.4,-6.3165,True,fuzzy_logic_fixed_snr,14.1507,0.427
11,v2,v6,20.0,200.0,0.0,0.6,1.0,0.0,-7.6124,True,fuzzy_logic_fixed_snr,12.8321,0.3551
11,v3,v4,20.0,80.06,10.0,0.6,0.4003,0.2,-4.6469,True,fuzzy_logic_fixed_snr,15.8082,0.5461
11,v3,v7,20.0,130.0,30.0,0.6,0.65,0.6,-8.9797,True,fuzzy_logic_fixed_snr,11.3734,0.2721
11,v3,v8,20.0,140.03,20.0,0.6,0.7002,0.4,-8.6175,True,fuzzy_logic_fixed_snr,11.7575,0.2717
11,v4,v7,40.0,50.09,20.0,1.0,0.2504,0.4,16.7403,False,fuzzy_logic_fixed_snr,22.8775,0.9594
11,v4,v8,40.0,60.0,10.0,1.0,0.3,0.2,16.856,False,fuzzy_logic_fixed_snr,22.9934,0.9525
11,v4,v3,40.0,80.06,10.0,1.0,0.4003,0.2,15.3531,False,fuzzy_logic_fixed_snr,21.49,0.9432
11,v4,v11,40.0,140.03,30.0,1.0,0.7002,0.6,10.6329,True,fuzzy_logic_fixed_snr,23.9068,0.8977
11,v4,v12,40.0,190.0,10.0,1.0,0.95,0.2,10.8488,True,fuzzy_logic_fixed_snr,23.9346,0.9074
12,v1,v2,40.0,10.44,20.0,1.0,0.0522,0.4,24.9127,False,fuzzy_logic_fixed_snr,31.0503,0.9848
12,v1,v5,40.0,100.0,0.0,1.0,0.5,0.0,16.0,False,fuzzy_logic_fixed_snr,22.1381,0.9568
12,v1,v6,40.0,190.02,10.0,1.0,0.9501,0.2,10.8481,True,fuzzy_logic_fixed_snr,23.9315,0.9113
12,v2,v1,20.0,10.44,20.0,0.6,0.0522,0.4,4.9127,True,fuzzy_logic_fixed_snr,22.4745,0.89
12,v2,v5,20.0,110.04,20.0,0.6,0.5502,0.4,-7.3614,True,fuzzy_logic_fixed_snr,13.1009,0.3633
12,v2,v6,20.0,200.0,10.0,0.6,1.0,0.2,-9.4185,True,fuzzy_logic_fixed_snr,10.849,0.2543
12,v3,v4,20.0,70.06,0.0,0.6,0.3503,0.0,-2.146,True,fuzzy_logic_fixed_snr,18.0475,0.7127
