time,car_ID_TX,car_ID_RX,snr_values,distance_values,rel_speed_values,snr_values_norm,distance_values_norm,rel_speed_values_norm,composite_snr_db,use_nn,testing_case,psnr,accuracy
10,v1,v2,40.0,20.22,20.0,1.0,0.1011,0.2,9.1116,False,fuzzy_logic_fixed_snr,15.2501,0.7643
10,v1,v5,40.0,110.0,20.0,1.0,0.55,0.2,-5.5991,False,fuzzy_logic_fixed_snr,0.5377,0.1301
10,v1,v6,40.0,190.02,10.0,1.0,0.9501,0.1,-8.5865,True,fuzzy_logic_fixed_snr,11.7862,0.2908
10,v2,v1,20.0,20.22,20.0,0.6,0.1011,0.2,-10.8884,False,fuzzy_logic_fixed_snr,-4.75,0.0992
10,v2,v5,20.0,130.03,40.0,0.6,0.6502,0.4,-29.2709,True,fuzzy_logic_fixed_snr,-0.2557,0.1146
10,v3,v4,20.0,50.09,30.0,0.6,0.2504,0.3,-20.0156,True,fuzzy_logic_fixed_snr,1.234,0.1313
10,v3,v7,20.0,100.0,30.0,0.6,0.5,0.3,-26.0206,True,fuzzy_logic_fixed_snr,0.0098,0.1004
10,v3,v8,20.0,130.03,10.0,0.6,0.6502,0.1,-25.2915,True,fuzzy_logic_fixed_snr,0.0745,0.1039
10,v4,v3,40.0,50.09,30.0,1.0,0.2504,0.3,-0.0156,False,fuzzy_logic_fixed_snr,6.1234,0.1871
10,v4,v7,40.0,50.09,0.0,1.0,0.2504,0.0,6.005,False,fuzzy_logic_fixed_snr,12.1401,0.5441
10,v4,v8,40.0,80.0,20.0,1.0,0.4,0.2,-2.833,False,fuzzy_logic_fixed_snr,3.3056,0.148
10,v4,v12,40.0,170.0,20.0,1.0,0.85,0.2,-9.3802,True,fuzzy_logic_fixed_snr,10.9097,0.2543
10,v4,v16,40.0,170.0,20.0,1.0,0.85,0.2,-9.3802,True,fuzzy_logic_fixed_snr,10.8881,0.2514
11,v1,v2,40.0,3.0,10.0,1.0,0.015,0.1,27.4473,False,fuzzy_logic_fixed_snr,33.5854,0.9902
11,v1,v5,40.0,90.0,10.0,1.0,0.45,0.1,-2.0952,False,fuzzy_logic_fixed_snr,4.0437,0.1408
11,v2,v1,20.0,3.0,10.0,0.6,0.015,0.1,7.4473,False,fuzzy_logic_fixed_snr,13.5832,0.6789
11,v2,v5,20.0,90.05,20.0,0.6,0.4502,0.2,-23.8609,True,fuzzy_logic_fixed_snr,0.2953,0.0906
11,v2,v6,20.0,200.0,0.0,0.6,1.0,0.0,-26.0206,True,fuzzy_logic_fixed_snr,0.0111,0.1012
11,v3,v4,20.0,80.06,10.0,0.6,0.4003,0.1,-21.0782,True,fuzzy_logic_fixed_snr,0.8805,0.1135
11,v3,v7,20.0,130.0,30.0,0.6,0.65,0.3,-28.2995,True,fuzzy_logic_fixed_snr,-0.1899,0.0998
11,v3,v8,20.0,140.03,20.0,0.6,0.7002,0.2,-27.6958,True,fuzzy_logic_fixed_snr,-0.1487,0.1057
11,v4,v7,40.0,50.09,20.0,1.0,0.2504,0.2,1.2338,False,fuzzy_logic_fixed_snr,7.3717,0.2223
11,v4,v8,40.0,60.0,10.0,1.0,0.3,0.1,1.4267,False,fuzzy_logic_fixed_snr,7.5661,0.2273
11,v4,v3,40.0,80.06,10.0,1.0,0.4003,0.1,-1.0782,False,fuzzy_logic_fixed_snr,5.061,0.1711
11,v4,v11,40.0,140.03,30.0,1.0,0.7002,0.3,-8.9452,False,fuzzy_logic_fixed_snr,-2.8058,0.108
11,v4,v12,40.0,190.0,10.0,1.0,0.95,0.1,-8.5854,True,fuzzy_logic_fixed_snr,11.7776,0.2936
12,v1,v2,40.0,10.44,20.0,1.0,0.0522,0.2,14.8545,False,fuzzy_logic_fixed_snr,20.9918,0.9387
12,v1,v5,40.0,100.0,0.0,1.0,0.5,0.0,0.0,False,fuzzy_logic_fixed_snr,6.1372,0.1822
12,v1,v6,40.0,190.02,10.0,1.0,0.9501,0.1,-8.5865,True,fuzzy_logic_fixed_snr,11.7995,0.2949
12,v2,v1,20.0,10.44,20.0,0.6,0.0522,0.2,-5.1455,False,fuzzy_logic_fixed_snr,0.9897,0.1295
12,v2,v5,20.0,110.04,20.0,0.6,0.5502,0.2,-25.6023,True,fuzzy_logic_fixed_snr,0.0469,0.0973
12,v2,v6,20.0,200.0,10.0,0.6,1.0,0.1,-29.0309,True,fuzzy_logic_fixed_snr,-0.2417,0.1031
12,v3,v4,20.0,70.06,0.0,0.6,0.3503,0.0,-16.9099,True,fuzzy_logic_fixed_snr,2.8018,0.1221
12,v3,v7,20.0,100.0,20.0,0.6,0.5,0.2,-24.7712,True,fuzzy_logic_fixed_snr,0.1557,0.1014
12,v3,v8,20.0,120.04,20.0,0.6,0.6002,0.2,-26.3576,True,fuzzy_logic_fixed_snr,-0.0214,0.0965
12,v3,v11,20.0,180.0,10.0,0.6,0.9,0.1,-28.1158,True,fuzzy_logic_fixed_snr,-0.174,0.1057
12,v4,v7,40.0,30.15,20.0,1.0,0.1507,0.2,5.6431,False,fuzzy_logic_fixed_snr,11.7795,0.5129
12,v4,v8,40.0,50.0,20.0,1.0,0.25,0.2,1.2494,False,fuzzy_logic_fixed_snr,7.3888,0.2232
12,v4,v3,40.0,70.06,0.0,1.0,0.3503,0.0,3.0901,False,fuzzy_logic_fixed_snr,9.2305,0.3197
12,v4,v11,40.0,110.04,10.0,1.0,0.5502,0.1,-3.8414,False,fuzzy_logic_fixed_snr,2.2956,0.1363
12,v4,v12,40.0,180.0,10.0,1.0,0.9,0.1,-8.1158,True,fuzzy_logic_fixed_snr,12.2966,0.2971
13,v1,v2,40.0,30.15,10.0,1.0,0.1507,0.1,7.4041,False,fuzzy_logic_fixed_snr,13.54,0.6707
13,v1,v5,40.0,100.0,30.0,1.0,0.5,0.3,-6.0206,False,fuzzy_logic_fixed_snr,0.1177,0.1217
13,v1,v6,40.0,180.02,0.0,1.0,0.9001,0.0,-5.1067,True,fuzzy_logic_fixed_snr,15.3996,0.5406
13,v2,v1,20.0,30.15,10.0,0.6,0.1507,0.1,-12.5959,False,fuzzy_logic_fixed_snr,-6.4573,0.1051
13,v2,v5,20.0,130.03,20.0,0.6,0.6502,0.2,-27.0524,True,fuzzy_logic_fixed_snr,-0.0928,0.1047
13,v3,v4,20.0,70.06,10.0,0.6,0.3503,0.1,-19.9202,True,fuzzy_logic_fixed_snr,1.282,0.1148
13,v3,v7,20.0,120.0,10.0,0.6,0.6,0.1,-24.5939,True,fuzzy_logic_fixed_snr,0.1749,0.1018
13,v3,v8,20.0,140.03,20.0,0.6,0.7002,0.2,-27.6958,True,fuzzy_logic_fixed_snr,-0.1491,0.0939
13,v3,v11,20.0,190.0,10.0,0.6,0.95,0.1,-28.5854,True,fuzzy_logic_fixed_snr,-0.219,0.0969
13,v4,v7,40.0,50.09,20.0,1.0,0.2504,0.2,1.2338,False,fuzzy_logic_fixed_snr,7.3715,0.2141
13,v4,v8,40.0,70.0,10.0,1.0,0.35,0.1,0.0877,False,fuzzy_logic_fixed_snr,6.2254,0.1754
13,v4,v3,40.0,70.06,10.0,1.0,0.3503,0.1,0.0798,False,fuzzy_logic_fixed_snr,6.2169,0.1871
13,v4,v11,40.0,120.04,0.0,1.0,0.6002,0.0,-1.5863,False,fuzzy_logic_fixed_snr,4.5547,0.1613
13,v4,v12,40.0,170.0,0.0,1.0,0.85,0.0,-4.609,True,fuzzy_logic_fixed_snr,15.8347,0.5668
14,v1,v2,40.0,20.22,30.0,1.0,0.1011,0.3,7.8622,False,fuzzy_logic_fixed_snr,14.0001,0.709
14,v1,v5,40.0,130.0,30.0,1.0,0.65,0.3,-8.2995,False,fuzzy_logic_fixed_snr,-2.1643,0.107
14,v1,v6,40.0,180.02,40.0,1.0,0.9001,0.4,-12.0964,True,fuzzy_logic_fixed_snr,7.5735,0.1613
14,v2,v1,20.0,20.22,30.0,0.6,0.1011,0.3,-12.1378,True,fuzzy_logic_fixed_snr,7.5199,0.1625
14,v2,v5,20.0,150.03,0.0,0.6,0.7501,0.0,-23.5236,True,fuzzy_logic_fixed_snr,0.3567,0.1146
14,v2,v6,20.0,200.0,10.0,0.6,1.0,0.1,-29.0309,True,fuzzy_logic_fixed_snr,-0.2339,0.0951
14,v3,v4,20.0,80.06,10.0,0.6,0.4003,0.1,-21.0782,True,fuzzy_logic_fixed_snr,0.9208,0.1043
14,v3,v7,20.0,110.0,10.0,0.6,0.55,0.1,-23.8382,True,fuzzy_logic_fixed_snr,0.3093,0.0953
14,v3,v8,20.0,160.03,10.0,0.6,0.8001,0.1,-27.0942,True,fuzzy_logic_fixed_snr,-0.0987,0.093
14,v3,v11,20.0,200.0,10.0,0.6,1.0,0.1,-29.0309,True,fuzzy_logic_fixed_snr,-0.2412,0.0963
14,v4,v7,40.0,30.15,20.0,1.0,0.1507,0.2,5.6431,False,fuzzy_logic_fixed_snr,11.7804,0.5326
14,v4,v8,40.0,80.0,0.0,1.0,0.4,0.0,1.9382,False,fuzzy_logic_fixed_snr,8.074,0.2404
14,v4,v3,40.0,80.06,10.0,1.0,0.4003,0.1,-1.0782,False,fuzzy_logic_fixed_snr,5.0593,0.1672
14,v4,v11,40.0,120.04,0.0,1.0,0.6002,0.0,-1.5863,False,fuzzy_logic_fixed_snr,4.5516,0.1553
14,v4,v12,40.0,170.0,20.0,1.0,0.85,0.2,-9.3802,True,fuzzy_logic_fixed_snr,10.8872,0.2258
15,v1,v2,40.0,50.09,20.0,1.0,0.2504,0.2,1.2338,False,fuzzy_logic_fixed_snr,7.3715,0.215
15,v1,v5,40.0,100.0,10.0,1.0,0.5,0.1,-3.0103,False,fuzzy_logic_fixed_snr,3.1292,0.1463
15,v1,v6,40.0,140.03,10.0,1.0,0.7002,0.1,-5.9349,False,fuzzy_logic_fixed_snr,0.2037,0.127
15,v2,v1,20.0,50.09,20.0,0.6,0.2504,0.2,-18.7662,False,fuzzy_logic_fixed_snr,-12.6257,0.1199
15,v2,v5,20.0,150.03,10.0,0.6,0.7501,0.1,-26.5339,True,fuzzy_logic_fixed_snr,-0.0405,0.1012
15,v2,v6,20.0,190.0,30.0,0.6,0.95,0.3,-30.0,True,fuzzy_logic_fixed_snr,-0.291,0.1021
15,v3,v4,20.0,70.06,30.0,0.6,0.3503,0.3,-22.9305,True,fuzzy_logic_fixed_snr,0.443,0.099
15,v3,v7,20.0,120.0,20.0,0.6,0.6,0.2,-26.3548,True,fuzzy_logic_fixed_snr,-0.0134,0.1037
15,v3,v8,20.0,150.03,10.0,0.6,0.7501,0.1,-26.5339,True,fuzzy_logic_fixed_snr,-0.0577,0.1129
15,v3,v11,20.0,190.0,10.0,0.6,0.95,0.1,-28.5854,True,fuzzy_logic_fixed_snr,-0.2189,0.0943
15,v4,v7,40.0,50.09,10.0,1.0,0.2504,0.1,2.9947,False,fuzzy_logic_fixed_snr,9.1332,0.3105
15,v4,v3,40.0,70.06,30.0,1.0,0.3503,0.3,-2.9305,False,fuzzy_logic_fixed_snr,3.2076,0.1482
15,v4,v8,40.0,80.0,40.0,1.0,0.4,0.4,-5.0515,False,fuzzy_logic_fixed_snr,1.0858,0.1197
15,v4,v11,40.0,120.04,40.0,1.0,0.6002,0.4,-8.576,False,fuzzy_logic_fixed_snr,-2.4392,0.107
