epoch,train_acc,train_loss,train_psnr,test_acc,test_loss,test_psnr,epoch_time
1,0.7997068230277186,0.5792141071578333,2.4174210128308866,0.95203025477707,0.5240431801908335,2.831354189070926,10.300981283187866
2,0.9496934968017058,0.5125867416546035,2.904895351385511,0.9545183121019108,0.5144863588035486,2.912604480032708,14.892515182495117
3,0.9563399520255863,0.5064783792760073,2.956635131002235,0.9589968152866242,0.510707345168302,2.9452378681510876,14.895296812057495
4,0.959155117270789,0.5033757383190492,2.983368016001004,0.9540207006369427,0.5083449108965078,2.9655749805413993,14.644960403442383
5,0.9604877398720683,0.5007960911689282,3.0059268377991373,0.9615843949044586,0.5063143205490841,2.9829471908557186,14.31656789779663
6,0.9609708155650319,0.49960790431575736,3.015818668072666,0.9606886942675159,0.5059316720172857,2.9864057925096743,14.790570735931396
7,0.9606709754797441,0.4987679401885218,3.0233024351124063,0.962281050955414,0.5060637986204427,2.9851346919491033,14.52699327468872
8,0.9613872601279317,0.49851569889196706,3.0257181285032586,0.9584992038216561,0.5061977084275264,2.9841937107645022,14.32958173751831
9,0.9614205756929638,0.49863824715365224,3.024257178245577,0.9556130573248408,0.5061721655593556,2.98437033868899,14.374533414840698
10,0.9606876332622601,0.49893810360162244,3.0217951487884847,0.9620820063694268,0.5061797256682329,2.984382435015053,14.398749351501465
11,0.960954157782516,0.4992719683121008,3.018894332050006,0.9582006369426752,0.5072433506227603,2.975058535102067,14.48169755935669
12,0.9602878464818764,0.49994559354111073,3.0129868557204063,0.9541202229299363,0.5076872755767433,2.971324798407828,14.405836582183838
13,0.9602212153518124,0.500530419636891,3.0080371472372938,0.9583001592356688,0.5083533405877982,2.965561726290709,12.066570043563843
14,0.9604211087420043,0.5012484224938126,3.0019801839836626,0.95421974522293,0.5086341764137243,2.9630428127422452,14.432384967803955
15,0.9586553837953091,0.5019632351360341,2.9956919656379393,0.9592953821656051,0.5101684497040548,2.9500798822208574,14.312547445297241
16,0.9583555437100213,0.502814088104122,2.988250616771072,0.9590963375796179,0.5097360362292854,2.9536720020755842,12.493393898010254
17,0.9583222281449894,0.5033041819898304,2.984328689859874,0.9557125796178344,0.5111029968140232,2.94187373416439,14.352321863174438
18,0.9585221215351812,0.5039182981766109,2.9789455244536085,0.9528264331210191,0.5120548672357182,2.93375029533532,14.399767637252808
19,0.9561733742004265,0.504793802875954,2.9711122332351296,0.9525278662420382,0.5117597952010525,2.9362185874562354,14.535939931869507
20,0.9577392057569296,0.5053196992955482,2.9665352634783746,0.9484474522292994,0.5117922402491235,2.9360906386831003,14.485127687454224
