epoch,train_loss,train_acc,test_loss,test_acc,epoch_time
1,0.2300769512140468,92.89,0.10603740828179986,96.64,8.295005083084106
2,0.09608953461539485,97.09833333333333,0.12426923464236271,96.32,9.804742574691772
3,0.06837728163303146,97.83166666666666,0.07755860061478166,97.59,9.780765771865845
4,0.05275326188721224,98.35,0.09456327946656043,97.19,9.593500137329102
5,0.044608218369877405,98.565,0.07417877727866827,97.85,9.595526456832886
6,0.03613675082588495,98.87333333333333,0.07319721438782771,98.05,9.348880767822266
7,0.0322827823604194,99.00166666666667,0.09975664313084737,97.38,9.565603494644165
8,0.026593670884735663,99.10833333333333,0.09934935595113639,97.63,14.411712884902954
9,0.022276830902562085,99.29666666666667,0.08285082603569423,97.92,21.021633625030518
10,0.025006909628662855,99.25333333333333,0.09563800266109547,97.77,20.925568103790283
11,0.019564991169705934,99.40333333333334,0.0918908356883857,98.01,20.862493991851807
12,0.019191262545771907,99.41333333333333,0.0880151844025106,97.84,20.833585023880005
13,0.0203200003787483,99.41333333333333,0.07766173814174482,98.16,11.89618706703186
14,0.014489915844647143,99.56333333333333,0.09922956606665577,98.07,9.63622522354126
15,0.018144978877406317,99.48,0.08876222382610696,97.93,9.5951988697052
16,0.014873163597519893,99.57666666666667,0.08961314681264668,98.08,9.736791133880615
17,0.013553670754379837,99.59166666666667,0.09954034947805719,98.06,9.451585531234741
18,0.013602679119452663,99.59,0.09198906076707013,98.19,10.047724723815918
19,0.013462138072311133,99.59833333333333,0.08236467065290427,98.39,9.91100263595581
20,0.011028411939290937,99.66833333333334,0.09627035552816966,98.14,9.68048095703125
21,0.014504874586107455,99.60333333333334,0.09346392333580637,98.26,9.396424770355225
22,0.011134530764271242,99.69166666666666,0.11440424049868747,98.06,9.791744709014893
23,0.012782356911290404,99.64333333333333,0.10028931851480594,98.15,10.132928133010864
24,0.009727341268454736,99.69333333333333,0.09670400499318793,98.3,10.150269269943237
25,0.011649958801496111,99.71166666666667,0.0887566227646784,98.26,9.393157005310059
26,0.009070291091988042,99.75166666666667,0.10899720672758444,98.11,9.337469577789307
27,0.011550748823746057,99.68,0.10824604673201749,98.26,9.191643476486206
28,0.00927880964960637,99.72833333333334,0.13580552688163375,97.72,9.31431269645691
29,0.012013493604206183,99.64833333333333,0.12775873842676205,97.88,9.406436204910278
30,0.0086331506870809,99.75833333333334,0.10376980982186114,98.23,9.19573187828064
