epoch,train_acc,train_loss,train_psnr,test_acc,test_loss,test_psnr,epoch_time
1,0.1292359335038363,0.08098317587467106,11.32795135017551,0.17227308917197454,0.04960042428059183,13.069196773942108,148.03718400001526
2,0.2213475063938619,0.03899884311591878,14.191054174662247,0.276671974522293,0.030998216277569723,15.140563898025805,148.29601788520813
3,0.3327405690537084,0.02713221127924788,15.746095497589891,0.36176353503184716,0.025057894337898606,16.088062845217955,147.68585062026978
4,0.43897858056265987,0.022334666430826305,16.610907897315062,0.4872611464968153,0.02182215504395734,16.673559662642752,147.8967878818512
5,0.5221787084398977,0.020436685572823753,17.037348083827805,0.5588176751592356,0.018264634131341224,17.484829762938677,147.86738872528076
6,0.5718310421994884,0.018888250380382894,17.38309660226183,0.6088773885350318,0.016858806038738055,17.8566723173591,147.97372102737427
7,0.6246403452685422,0.016537908400358903,17.95777002198007,0.6153463375796179,0.01711618995804126,17.853284671807746,147.91962909698486
8,0.6487172314578005,0.01622814972720602,18.109517903584045,0.6645103503184714,0.014284444480517487,18.69101282593551,148.30095505714417
9,0.684582800511509,0.014262262753227634,18.678381284484473,0.6706807324840764,0.014414532044843125,18.686680994216044,147.99220728874207
10,0.6972906010230179,0.014306921062900511,18.69957029362164,0.645203025477707,0.019098174704867563,17.310899157432992,148.31863117218018
11,0.7252437659846548,0.012976607566823244,19.121648378689272,0.7145700636942676,0.011972112501051966,19.489956290858565,147.74390745162964
12,0.7376718350383632,0.012616893178914361,19.294252901735817,0.7283041401273885,0.01570397225700936,18.200995803638627,147.88200426101685
13,0.7448849104859335,0.012488186019984885,19.365912992326194,0.7578622611464968,0.011309330915189852,19.727546114830453,147.74698495864868
14,0.7672234654731458,0.011659893208442976,19.65868814522043,0.738953025477707,0.011973834009307205,19.50447247742088,147.84240412712097
15,0.7796715153452686,0.011200657609821585,19.82440346281242,0.7497014331210191,0.01198860104522033,19.497754607230995,147.8541440963745
16,0.7898217710997443,0.010632191031404278,20.054828484040087,0.7783638535031847,0.01072010487187535,20.004831216897173,147.88363242149353
17,0.7965153452685422,0.010408517354956407,20.169418071541944,0.7415406050955414,0.0123739049764006,19.342293484195782,147.68544507026672
18,0.8042679028132992,0.010249554361228633,20.229949575555903,0.7791600318471338,0.01057309661487675,19.990054804808015,147.97840213775635
19,0.8046475383631714,0.010428620165909458,20.213341527582738,0.7933917197452229,0.008923525773700635,20.88801448967806,148.08490300178528
20,0.8070851982097187,0.010369432226652304,20.261484741249962,0.8004578025477707,0.008759718877708267,20.981562019153763,148.39821338653564
21,0.8208519820971867,0.009562854142978673,20.631439684602,0.7894108280254777,0.009172875576528015,20.785930475611597,147.99627447128296
22,0.8262468030690537,0.009345687659638351,20.723533471831885,0.7894108280254777,0.009773049874314267,20.780144800805743,148.08216381072998
23,0.8321411445012787,0.009379306881357451,20.709911350094146,0.8369824840764332,0.00759440911103301,21.413544673069268,147.7078652381897
24,0.8290041560102301,0.009581601484785872,20.664303585696402,0.7706011146496815,0.01019820869324883,20.366310350454537,148.0857343673706
25,0.8363171355498721,0.00915949160704756,20.85650298784456,0.8009554140127388,0.009523118875778405,20.523389378930354,148.306809425354
26,0.8426110933503836,0.008990595562626486,20.915970481570113,0.8187699044585988,0.008385301101952791,21.24499834874633,148.19646525382996
27,0.8481857416879796,0.008523780352357404,21.174295094921767,0.8091162420382165,0.009353165627474997,20.958550975580884,148.2206676006317
28,0.8454084079283888,0.008880866198417018,21.030632950765703,0.8081210191082803,0.008971812559445952,21.05856845637036,148.38458847999573
29,0.85775655370844,0.008198065529613163,21.356743982076036,0.8073248407643312,0.008573740406353383,21.111111987168623,147.90075492858887
30,0.8565577046035806,0.008258148844418165,21.36472140919522,0.8210589171974523,0.009156238213537416,21.03770024001978,147.79033994674683
31,0.8627717391304348,0.00793674633399967,21.51630296121778,0.8082205414012739,0.00873575707790768,21.079535672619084,148.00585508346558
32,0.8581162084398977,0.008394242420344783,21.30097642274159,0.8429538216560509,0.00791384712763273,21.612647457487263,148.45187854766846
33,0.85465952685422,0.008692476238645708,21.18547796044508,0.807921974522293,0.009757135979902402,20.503329987738542,148.16553497314453
34,0.8723625319693095,0.007583345218068536,21.74702013606001,0.8046377388535032,0.010258611778070213,20.24773500527546,148.25649785995483
35,0.8597945971867008,0.008546885724662973,21.264093031968606,0.8230493630573248,0.00840133802585636,21.421660733071104,148.16311168670654
36,0.8729020140664961,0.007604738670017789,21.76411716895335,0.8294187898089171,0.00849707163633055,21.199298172240045,148.55410242080688
37,0.8717231457800512,0.007641091209459964,21.753664074041655,0.8371815286624203,0.008335779337983603,21.290932035749886,148.4316282272339
38,0.8705642583120204,0.007937059987245886,21.625904946680873,0.835390127388535,0.007168526168034714,22.12875705767589,148.21394419670105
39,0.8825727301790282,0.007119480183745837,22.041312970163876,0.8431528662420382,0.007574833595864238,22.007041925077985,147.96319198608398
40,0.8729619565217391,0.007749099774783968,21.712000632225095,0.8393710191082803,0.007638423171214712,22.054897095747055,148.1456913948059
41,0.8656689578005116,0.008308494721999024,21.47673559798609,0.8413614649681529,0.007917970335882181,21.469101134379198,147.96006608009338
42,0.882193094629156,0.007014147284955186,22.174297555938097,0.8431528662420382,0.006758231152098175,22.368647344552787,147.9344539642334
43,0.8913842710997443,0.006807919973364609,22.243943183928195,0.836484872611465,0.007205471611480899,22.166762036123092,147.93110370635986
44,0.8812739769820972,0.007437399171692941,21.94442177550567,0.8508160828025477,0.007242320630414661,22.013494054223322,148.12142729759216
45,0.8833120204603581,0.0071684182386326095,22.090008531994833,0.8398686305732485,0.00911307494470458,20.7676711598779,148.10255551338196
46,0.8834518861892583,0.007354324441784255,22.008941167455806,0.8286226114649682,0.007205627811182836,22.003650203631942,148.05064845085144
47,0.8818334398976982,0.007358994462963222,22.02347994216568,0.835390127388535,0.008431211638910944,21.020695091053177,148.0542402267456
48,0.8798753196930946,0.0075029539315939866,21.96118962490345,0.8617635350318471,0.006319690694451143,22.593862029397563,148.1113154888153
49,0.8918238491048593,0.0069062841872748965,22.315084233003503,0.8332006369426752,0.007923456312269922,21.760458891558798,148.09645199775696
50,0.8854299872122762,0.00714594059858395,22.149572506585084,0.8545979299363057,0.007959408712258954,21.433824235466634,148.07444095611572
