epoch,train_loss,train_acc,test_loss,test_acc,epoch_time
1,1.3352876876473732,51.614,1.0327631527451193,63.54,41.381842851638794
2,0.8580866026146637,70.322,0.6830001088084688,76.63,40.66565203666687
3,0.6634367757364917,77.498,0.8700608652868088,72.02,40.982948541641235
4,0.5515413260482767,81.408,0.5372692431044427,81.62,41.07283425331116
5,0.47555546672142984,83.836,0.5499295582816859,81.55,41.03022646903992
6,0.41839106691539135,85.99,0.5940612608649928,79.89,40.588889598846436
7,0.3705791037748842,87.304,0.5358361774569105,82.13,40.80921196937561
8,0.3306954785362077,88.622,0.4505730676850316,85.29,40.738014936447144
9,0.2931493384015682,90.07,0.4423268674665196,85.28,41.19260382652283
10,0.2650963704308967,91.0,0.42087494890401317,86.39,40.6816771030426
11,0.231080576239149,92.048,0.4585291772701178,85.29,40.84205865859985
12,0.2090034972247489,92.998,0.5172750290222229,84.48,40.838523864746094
13,0.18910082970814937,93.498,0.47858707511880594,85.75,41.459564208984375
14,0.1687226073025628,94.09,0.436418685089251,86.78,41.69794774055481
15,0.1483664582376285,94.99,0.45375341010890946,86.59,41.80357599258423
16,0.14165433402628164,95.132,0.46954859214223876,86.23,41.27639126777649
17,0.12748112017050614,95.652,0.4240782232421219,87.84,41.34467053413391
18,0.11463357535812556,96.094,0.4524642068204606,87.01,42.29956364631653
19,0.10993398434203833,96.246,0.4581827040121054,87.56,41.59250998497009
20,0.109380915641899,96.24,0.44413633400182817,88.14,41.033283710479736
21,0.08500295788850017,97.104,0.4938449240793848,86.99,41.61762046813965
22,0.08613701696332564,97.064,0.5166119326641605,87.17,41.08951210975647
23,0.07865245212458999,97.172,0.4822116315269926,87.59,41.110382318496704
24,0.07600891578685293,97.298,0.49283280237844795,87.76,40.90964078903198
25,0.0720138317111003,97.536,0.5045223099885473,87.61,40.91297769546509
26,0.06891891752507256,97.588,0.5504794191972465,86.93,40.56978988647461
27,0.06445308353024227,97.78,0.4714247146324747,88.63,40.59710144996643
28,0.06271473264358604,97.836,0.49346881393034747,88.37,40.47515034675598
29,0.058671063684430834,98.0,0.5037770213879598,88.33,40.97008514404297
30,0.058751451535388,97.964,0.5672165929891502,86.79,42.2252459526062
