epoch,train_acc,test_acc,epoch_time,estimated_total
1,50.082,60.4,6.499939918518066,129.99879837036133
2,64.4,66.48,7.573802947998047,140.73742866516113
3,70.158,67.96,8.314095973968506,149.25225893656412
4,74.352,70.96,8.198552370071411,152.93195605278015
5,78.026,72.39,8.277827024459839,155.45687294006348
6,81.498,72.37,8.022820472717285,156.2901290257772
7,85.172,72.6,8.275643110275269,157.60766233716691
8,88.596,70.95,8.418014287948608,158.95174026489258
9,91.476,72.29,8.379327058792114,159.91116258833142
10,94.004,72.66,8.340943098068237,160.60193252563477
11,95.746,72.13,8.622126340866089,161.67835018851542
12,96.958,72.33,8.408676385879517,162.21961498260498
13,97.562,71.72,8.362502336502075,162.60657127086932
14,97.872,71.23,8.119415044784546,162.59098052978516
15,98.372,71.09,8.35164999961853,162.88711516062418
16,98.654,70.87,8.291876792907715,163.07151645421982
17,97.818,71.15,8.347859859466553,163.30008590922634
18,98.102,70.62,23.80373215675354,180.67645019955106
19,98.682,71.09,27.153322219848633,199.74960778888902
20,98.754,71.01,13.905364036560059,203.66749143600464
