epoch,train_acc,train_loss,train_psnr,test_acc,test_loss,test_psnr,epoch_time
1,0.13562979539641945,0.07728420573351023,11.637526576171446,0.1813296178343949,0.04777901126131131,13.218990477786702,123.16190457344055
2,0.21355498721227623,0.04029769319659837,13.994519687369657,0.25955414012738853,0.033771844438401755,14.722309464861633,121.60402178764343
3,0.30798433503836314,0.02647241072067062,15.801853686037576,0.357484076433121,0.023320045642507305,16.332487203512983,122.56616234779358
4,0.4092671035805627,0.021499803892391568,16.69577845527083,0.43740047770700635,0.021140734718483725,16.75682554427226,120.88253140449524
5,0.48555386828644503,0.018864224168240948,17.261890417474614,0.5386146496815286,0.017629426346415546,17.546871185302734,120.96673011779785
6,0.5537683823529411,0.016907795602717744,17.738103366568875,0.5782245222929936,0.01679107150549342,17.758063929855442,121.64604663848877
7,0.6029411764705882,0.015401432514571777,18.147404065827274,0.609375,0.015214591097252764,18.187462035258104,121.35114479064941
8,0.6488171355498721,0.014167251364301766,18.508478725657742,0.6656050955414012,0.014742765403619617,18.325183686177443,120.8840982913971
9,0.6908567774936062,0.013286238174189996,18.787831513778023,0.6950636942675159,0.012360227128170477,19.091572585379243,121.11052012443542
10,0.7229259910485933,0.012447382480649234,19.074754349106108,0.7024283439490446,0.012828376796689762,18.92926812627513,120.99653553962708
11,0.753656489769821,0.011783669638397444,19.311177319577894,0.7374601910828026,0.012922482873508884,18.897210236567602,120.80409502983093
12,0.7757952365728901,0.011271423681655807,19.505018409865592,0.7498009554140127,0.013963074221685055,18.56067022092783,121.06438136100769
13,0.7952765345268542,0.010781846919675807,19.698895817827385,0.7673168789808917,0.010608786426389672,19.758074389901132,120.8833737373352
14,0.8132592710997443,0.010240059799116933,19.921294661129224,0.779359076433121,0.010831332273164372,19.66874969385232,120.81316804885864
15,0.8242487212276215,0.009981001165750273,20.038046436846408,0.8064291401273885,0.00936847208601654,20.299719925898657,121.02922654151917
16,0.8368566176470589,0.009562534180677037,20.221171201037627,0.8005573248407644,0.010610341266461999,19.75556243604915,120.94554114341736
17,0.844988810741688,0.00938618693457883,20.303047982628083,0.8126990445859873,0.009185223327059844,20.385864282109935,120.88347101211548
18,0.8507632672634271,0.009033717287709112,20.472732570775026,0.8126990445859873,0.009085316047855433,20.4298976485137,121.00937914848328
19,0.8610933503836317,0.008839491948895061,20.566385708196695,0.8312101910828026,0.008760805129055764,20.591679238969352,120.92774891853333
20,0.8667279411764706,0.008708238021692122,20.633926333064007,0.8386743630573248,0.008628368745468984,20.660987671773146,120.83270645141602
21,0.8712835677749361,0.00843210959130579,20.77444051415719,0.8407643312101911,0.008256752230820192,20.850850159954874,121.09319138526917
22,0.8771978900255755,0.008267734172370504,20.85738348412087,0.8459394904458599,0.007918607556278918,21.03079141021534,120.92233514785767
23,0.8827725383631714,0.008090367045282099,20.95378021084134,0.8428542993630573,0.00869588006382725,20.62229079957221,120.83127164840698
24,0.8842111572890026,0.00796439169424936,21.017961989888146,0.8526074840764332,0.007865754828141754,21.06248314972896,121.07775378227234
